experiment,item,condition,sentence,prompt,question_type,options,literal_response,config
comprehension,46,comprehension,This question refers to the sentence above.,Were the students unprepared for the exam?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%3;condition%other_PP
comprehension,47,comprehension,This question refers to the sentence above.,Did the artist paint on paper?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%4;condition%other_base
comprehension,48,comprehension,This question refers to the sentence above.,Did the artist paint on paper?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%4;condition%other_NP
comprehension,49,comprehension,This question refers to the sentence above.,Did the artist paint on paper?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%4;condition%other_PP
comprehension,50,comprehension,This question refers to the sentence above.,Did the bird sing?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%5;condition%other_base
comprehension,51,comprehension,This question refers to the sentence above.,Did the bird sing?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%5;condition%other_NP
comprehension,52,comprehension,This question refers to the sentence above.,Did the bird sing?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%5;condition%other_PP
comprehension,53,comprehension,This question refers to the sentence above.,Did the dancer perform?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%6;condition%other_base
comprehension,54,comprehension,This question refers to the sentence above.,Did the dancer perform?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%6;condition%other_NP
comprehension,55,comprehension,This question refers to the sentence above.,Did the dancer perform?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%6;condition%other_PP
comprehension,56,comprehension,This question refers to the sentence above.,Did the teacher give a lesson?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%7;condition%other_base
comprehension,57,comprehension,This question refers to the sentence above.,Did the teacher give a lesson?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%7;condition%other_NP
comprehension,58,comprehension,This question refers to the sentence above.,Did the teacher give a lesson?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%7;condition%other_PP
comprehension,59,comprehension,This question refers to the sentence above.,Did the swimmer swim in the sea?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%8;condition%other_base
comprehension,60,comprehension,This question refers to the sentence above.,Did the swimmer swim in the sea?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%8;condition%other_NP
comprehension,61,comprehension,This question refers to the sentence above.,Did the swimmer swim in the sea?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%8;condition%other_PP
comprehension,62,comprehension,This question refers to the sentence above.,Were the patients in need of care?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%9;condition%other_base
comprehension,63,comprehension,This question refers to the sentence above.,Were the patients in need of care?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%9;condition%other_NP
comprehension,64,comprehension,This question refers to the sentence above.,Were the patients in need of care?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%9;condition%other_PP
comprehension,65,comprehension,This question refers to the sentence above.,Did the chef work at a hotel?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%10;condition%other_base
comprehension,66,comprehension,This question refers to the sentence above.,Did the chef work at a hotel?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%10;condition%other_NP
comprehension,67,comprehension,This question refers to the sentence above.,Did the chef work at a hotel?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%10;condition%other_PP
comprehension,68,comprehension,This question refers to the sentence above.,Did the athlete quit the tournament?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%11;condition%other_base
comprehension,69,comprehension,This question refers to the sentence above.,Did the athlete quit the tournament?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%11;condition%other_NP
comprehension,70,comprehension,This question refers to the sentence above.,Did the athlete quit the tournament?,multiple_choice,Yes_No,No,coordinate;experiment%V-P-NP;item%11;condition%other_PP
comprehension,71,comprehension,This question refers to the sentence above.,Did the student take a shot at the fellowship?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%12;condition%other_base
comprehension,72,comprehension,This question refers to the sentence above.,Did the student take a shot at the fellowship?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%12;condition%other_NP
comprehension,73,comprehension,This question refers to the sentence above.,Did the student take a shot at the fellowship?,multiple_choice,Yes_No,Yes,coordinate;experiment%V-P-NP;item%12;condition%other_PP
comprehension,74,comprehension,This question refers to the sentence above.,Did he reveal everything about the president’s travel plan?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%1;condition%NA
comprehension,75,comprehension,This question refers to the sentence above.,Is her future disappointing?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%2;condition%NA
comprehension,76,comprehension,This question refers to the sentence above.,Was he weaker than his opponent? ,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%3;condition%NA
comprehension,77,comprehension,This question refers to the sentence above.,Did she want to change her look?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%4;condition%NA
comprehension,78,comprehension,This question refers to the sentence above.,Were the dogs spread out?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%5;condition%NA
comprehension,79,comprehension,This question refers to the sentence above.,Is the world more dangerous today?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%6;condition%NA
comprehension,80,comprehension,This question refers to the sentence above.,Is the museum open in December?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%7;condition%NA
comprehension,81,comprehension,This question refers to the sentence above.,Did the soldier abandon her?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%8;condition%NA
comprehension,82,comprehension,This question refers to the sentence above.,Does he oppose the tax cuts?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%9;condition%NA
comprehension,83,comprehension,This question refers to the sentence above.,Was she wearing her dressing gown?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%10;condition%NA
comprehension,84,comprehension,This question refers to the sentence above.,Is the old woman satisfied with her lawn?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%11;condition%NA
comprehension,85,comprehension,This question refers to the sentence above.,Is friendship important in the world of big business?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%12;condition%NA
comprehension,86,comprehension,This question refers to the sentence above.,Are the measures to help customers effective?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%13;condition%NA
comprehension,87,comprehension,This question refers to the sentence above.,Was my mother socially awkward? ,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%14;condition%NA
comprehension,88,comprehension,This question refers to the sentence above.,Did the marchers include both genders?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%15;condition%NA
comprehension,89,comprehension,This question refers to the sentence above.,Was he unconscious?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%16;condition%NA
comprehension,90,comprehension,This question refers to the sentence above.,Does he think the current water usage in agriculture is sustainable?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%17;condition%NA
comprehension,91,comprehension,This question refers to the sentence above.,Is it sensible to invest in everything?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%18;condition%NA
comprehension,92,comprehension,This question refers to the sentence above.,Were they trapped?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%19;condition%NA
comprehension,93,comprehension,This question refers to the sentence above.,Were they fully-equipped?,multiple_choice,Yes_No,No,coordinate;experiment%Filler;item%20;condition%NA
comprehension,94,comprehension,This question refers to the sentence above.,Is there a reason to go away?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%21;condition%NA
comprehension,95,comprehension,This question refers to the sentence above.,Is he a player?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%22;condition%NA
comprehension,96,comprehension,This question refers to the sentence above.,Were they capable of doing the investigation?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%23;condition%NA
comprehension,97,comprehension,This question refers to the sentence above.,Does she have a baby?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%24;condition%NA
comprehension,98,comprehension,This question refers to the sentence above.,Has anything been broken?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%25;condition%NA
comprehension,99,comprehension,This question refers to the sentence above.,Did he want to study medicine before his father passed away?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%26;condition%NA
comprehension,100,comprehension,This question refers to the sentence above.,Was the silk fake?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%27;condition%NA
comprehension,101,comprehension,This question refers to the sentence above.,Can the altar be seen from inside?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%28;condition%NA
comprehension,102,comprehension,This question refers to the sentence above.,Did he develop the technique?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%29;condition%NA
comprehension,103,comprehension,This question refers to the sentence above.,Had the bus stopped running?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%30;condition%NA
comprehension,104,comprehension,This question refers to the sentence above.,Have the norms changed?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%31;condition%NA
comprehension,105,comprehension,This question refers to the sentence above.,Is rock music associated with the sense of danger?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%32;condition%NA
comprehension,106,comprehension,This question refers to the sentence above.,Will the same phenomenon repeat itself?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%33;condition%NA
comprehension,107,comprehension,This question refers to the sentence above.,Were students about to take out loans?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%34;condition%NA
comprehension,108,comprehension,This question refers to the sentence above.,Will the doctors be observed?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%35;condition%NA
comprehension,109,comprehension,This question refers to the sentence above.,Will the new identification tags be put into use?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%36;condition%NA
comprehension,110,comprehension,This question refers to the sentence above.,Do scientists have any clue of the age of the universe?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%37;condition%NA
comprehension,111,comprehension,This question refers to the sentence above.,Are the floors and walls finished with the same material?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%38;condition%NA
comprehension,112,comprehension,This question refers to the sentence above.,Does the song suit her?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%39;condition%NA
comprehension,113,comprehension,This question refers to the sentence above.,Is it raining cats and dogs?,multiple_choice,Yes_No,Yes,coordinate;experiment%Filler;item%40;condition%NA
